index,coco_image_id,original_image_path,person_gt_count,original_size,patch_id,patch_scale,patch_placement,eot_applied,clean_file,perturbed_file
1,143653,C:\논문\datasets\coco\train2017\000000143653.jpg,2,500x352,patch_E,0.95-1.05,torso,yes,train_clean_001.jpg,train_perturbed_001.jpg
2,527844,C:\논문\datasets\coco\train2017\000000527844.jpg,1,427x640,patch_A,0.95-1.05,torso,yes,train_clean_002.jpg,train_perturbed_002.jpg
3,146627,C:\논문\datasets\coco\train2017\000000146627.jpg,2,640x427,patch_D,0.95-1.05,torso,yes,train_clean_003.jpg,train_perturbed_003.jpg
4,449676,C:\논문\datasets\coco\train2017\000000449676.jpg,10,428x640,patch_C,0.95-1.05,torso,yes,train_clean_004.jpg,train_perturbed_004.jpg
5,509503,C:\논문\datasets\coco\train2017\000000509503.jpg,1,375x500,patch_A,0.95-1.05,torso,yes,train_clean_005.jpg,train_perturbed_005.jpg
6,72429,C:\논문\datasets\coco\train2017\000000072429.jpg,3,480x640,patch_B,0.95-1.05,torso,yes,train_clean_006.jpg,train_perturbed_006.jpg
7,208006,C:\논문\datasets\coco\train2017\000000208006.jpg,4,500x333,patch_D,0.95-1.05,torso,yes,train_clean_007.jpg,train_perturbed_007.jpg
8,261721,C:\논문\datasets\coco\train2017\000000261721.jpg,7,640x480,patch_E,0.95-1.05,torso,yes,train_clean_008.jpg,train_perturbed_008.jpg
9,113880,C:\논문\datasets\coco\train2017\000000113880.jpg,1,640x478,patch_E,0.95-1.05,torso,yes,train_clean_009.jpg,train_perturbed_009.jpg
10,547974,C:\논문\datasets\coco\train2017\000000547974.jpg,3,640x480,patch_E,0.95-1.05,torso,yes,train_clean_010.jpg,train_perturbed_010.jpg
11,43750,C:\논문\datasets\coco\train2017\000000043750.jpg,1,640x480,patch_E,0.95-1.05,torso,yes,train_clean_011.jpg,train_perturbed_011.jpg
12,251758,C:\논문\datasets\coco\train2017\000000251758.jpg,14,640x427,patch_D,0.95-1.05,torso,yes,train_clean_012.jpg,train_perturbed_012.jpg
13,214520,C:\논문\datasets\coco\train2017\000000214520.jpg,1,360x360,patch_E,0.95-1.05,torso,yes,train_clean_013.jpg,train_perturbed_013.jpg
14,426807,C:\논문\datasets\coco\train2017\000000426807.jpg,2,640x428,patch_B,0.95-1.05,torso,yes,train_clean_014.jpg,train_perturbed_014.jpg
15,561655,C:\논문\datasets\coco\train2017\000000561655.jpg,4,640x427,patch_D,0.95-1.05,torso,yes,train_clean_015.jpg,train_perturbed_015.jpg
16,119214,C:\논문\datasets\coco\train2017\000000119214.jpg,14,444x640,patch_D,0.95-1.05,torso,yes,train_clean_016.jpg,train_perturbed_016.jpg
17,74302,C:\논문\datasets\coco\train2017\000000074302.jpg,2,333x500,patch_A,0.95-1.05,torso,yes,train_clean_017.jpg,train_perturbed_017.jpg
18,24446,C:\논문\datasets\coco\train2017\000000024446.jpg,1,640x424,patch_A,0.95-1.05,torso,yes,train_clean_018.jpg,train_perturbed_018.jpg
19,456519,C:\논문\datasets\coco\train2017\000000456519.jpg,1,640x427,patch_D,0.95-1.05,torso,yes,train_clean_019.jpg,train_perturbed_019.jpg
20,132328,C:\논문\datasets\coco\train2017\000000132328.jpg,14,640x511,patch_D,0.95-1.05,torso,yes,train_clean_020.jpg,train_perturbed_020.jpg
21,113525,C:\논문\datasets\coco\train2017\000000113525.jpg,3,640x480,patch_D,0.95-1.05,torso,yes,train_clean_021.jpg,train_perturbed_021.jpg
22,77296,C:\논문\datasets\coco\train2017\000000077296.jpg,1,500x375,patch_E,0.95-1.05,torso,yes,train_clean_022.jpg,train_perturbed_022.jpg
23,516786,C:\논문\datasets\coco\train2017\000000516786.jpg,3,640x480,patch_A,0.95-1.05,torso,yes,train_clean_023.jpg,train_perturbed_023.jpg
24,397658,C:\논문\datasets\coco\train2017\000000397658.jpg,8,640x479,patch_A,0.95-1.05,torso,yes,train_clean_024.jpg,train_perturbed_024.jpg
25,378030,C:\논문\datasets\coco\train2017\000000378030.jpg,2,640x361,patch_D,0.95-1.05,torso,yes,train_clean_025.jpg,train_perturbed_025.jpg
26,77533,C:\논문\datasets\coco\train2017\000000077533.jpg,1,612x612,patch_A,0.95-1.05,torso,yes,train_clean_026.jpg,train_perturbed_026.jpg
27,368476,C:\논문\datasets\coco\train2017\000000368476.jpg,1,640x426,patch_C,0.95-1.05,torso,yes,train_clean_027.jpg,train_perturbed_027.jpg
28,9813,C:\논문\datasets\coco\train2017\000000009813.jpg,8,427x640,patch_D,0.95-1.05,torso,yes,train_clean_028.jpg,train_perturbed_028.jpg
29,281818,C:\논문\datasets\coco\train2017\000000281818.jpg,1,640x427,patch_B,0.95-1.05,torso,yes,train_clean_029.jpg,train_perturbed_029.jpg
30,360002,C:\논문\datasets\coco\train2017\000000360002.jpg,1,427x640,patch_C,0.95-1.05,torso,yes,train_clean_030.jpg,train_perturbed_030.jpg
31,380429,C:\논문\datasets\coco\train2017\000000380429.jpg,2,640x428,patch_C,0.95-1.05,torso,yes,train_clean_031.jpg,train_perturbed_031.jpg
32,321234,C:\논문\datasets\coco\train2017\000000321234.jpg,9,640x478,patch_D,0.95-1.05,torso,yes,train_clean_032.jpg,train_perturbed_032.jpg
33,213731,C:\논문\datasets\coco\train2017\000000213731.jpg,1,612x612,patch_B,0.95-1.05,torso,yes,train_clean_033.jpg,train_perturbed_033.jpg
34,435387,C:\논문\datasets\coco\train2017\000000435387.jpg,2,500x375,patch_E,0.95-1.05,torso,yes,train_clean_034.jpg,train_perturbed_034.jpg
35,422918,C:\논문\datasets\coco\train2017\000000422918.jpg,1,640x480,patch_C,0.95-1.05,torso,yes,train_clean_035.jpg,train_perturbed_035.jpg
36,415634,C:\논문\datasets\coco\train2017\000000415634.jpg,7,640x480,patch_D,0.95-1.05,torso,yes,train_clean_036.jpg,train_perturbed_036.jpg
37,148122,C:\논문\datasets\coco\train2017\000000148122.jpg,2,500x375,patch_C,0.95-1.05,torso,yes,train_clean_037.jpg,train_perturbed_037.jpg
38,7123,C:\논문\datasets\coco\train2017\000000007123.jpg,1,640x428,patch_B,0.95-1.05,torso,yes,train_clean_038.jpg,train_perturbed_038.jpg
39,444636,C:\논문\datasets\coco\train2017\000000444636.jpg,1,500x375,patch_A,0.95-1.05,torso,yes,train_clean_039.jpg,train_perturbed_039.jpg
40,274586,C:\논문\datasets\coco\train2017\000000274586.jpg,14,640x480,patch_D,0.95-1.05,torso,yes,train_clean_040.jpg,train_perturbed_040.jpg
41,7232,C:\논문\datasets\coco\train2017\000000007232.jpg,4,640x426,patch_D,0.95-1.05,torso,yes,train_clean_041.jpg,train_perturbed_041.jpg
42,495125,C:\논문\datasets\coco\train2017\000000495125.jpg,2,640x426,patch_E,0.95-1.05,torso,yes,train_clean_042.jpg,train_perturbed_042.jpg
43,242984,C:\논문\datasets\coco\train2017\000000242984.jpg,1,640x490,patch_C,0.95-1.05,torso,yes,train_clean_043.jpg,train_perturbed_043.jpg
44,314565,C:\논문\datasets\coco\train2017\000000314565.jpg,5,640x427,patch_E,0.95-1.05,torso,yes,train_clean_044.jpg,train_perturbed_044.jpg
45,110138,C:\논문\datasets\coco\train2017\000000110138.jpg,1,640x427,patch_D,0.95-1.05,torso,yes,train_clean_045.jpg,train_perturbed_045.jpg
46,559760,C:\논문\datasets\coco\train2017\000000559760.jpg,2,640x388,patch_E,0.95-1.05,torso,yes,train_clean_046.jpg,train_perturbed_046.jpg
47,172092,C:\논문\datasets\coco\train2017\000000172092.jpg,1,640x427,patch_E,0.95-1.05,torso,yes,train_clean_047.jpg,train_perturbed_047.jpg
48,396460,C:\논문\datasets\coco\train2017\000000396460.jpg,14,640x478,patch_A,0.95-1.05,torso,yes,train_clean_048.jpg,train_perturbed_048.jpg
49,291780,C:\논문\datasets\coco\train2017\000000291780.jpg,2,640x427,patch_E,0.95-1.05,torso,yes,train_clean_049.jpg,train_perturbed_049.jpg
50,71597,C:\논문\datasets\coco\train2017\000000071597.jpg,1,640x427,patch_E,0.95-1.05,torso,yes,train_clean_050.jpg,train_perturbed_050.jpg
